Symbol	Description
ADSK	Autodesk Inc

ADTN	Adtran Inc

ADUS	Addus Homecare Corp

ADVM	Adverum Biotechnlgs

ADXN	Addex Therapeutics Ltd ADR

ADXS	Advaxis Inc

AEGN	Aegion Corp

AEHR	Aehr Test Systems

AEIS	Advanced Energy

AEMD	Aethlon Medical

AERI	Aerie Pharmaceuticals

AESE	Allied Esports Entertainment Inc

AEY	Addvantage Techs Group

AEYE	Audioeye Inc

AEZS	Aeterna Zentaris

AFH	Atlas Financial Hlds

AFIN	American Finance Trust Inc Cl A

AFINP	American Finance Trust Inc Pfd Ser A

AFMD	Affimed N.V.

AFYA	Afya Ltd Cl A

AGBA	Agba Acquisition Ltd

AGBAR	Agba Acquisition Ltd Right

AGBAW	Agba Acquisition Ltd WT

AGEN	Agenus Inc

AGFS	Agrofresh Solutions

AGFSW	Agrofresh Sol Wrrnts

AGIO	Agios Pharmaceuticals

AGLE	Aeglea Biothera

AGMH	Agm Group Holdings Inc Cl A

AGNC	American Capital Age

AGNCM	Agnc Investment Corp Cum Red Pfd Ser D Fixed To

AGNCN	Agnc Investment Corp

AGNCO	Agnc Investment Corp Fxdfr Prf Perpetual USD 25

AGNCP	Agnc Investment Corp.

AGND	Wisdomtree Neg Duration US Agg Bond Fund

AGRX	Agile Therap

AGTC	Applied Genetic Tech

AGYS	Agilysys Inc

AGZD	Wisdomtree Int Rate US Agg Bond Fund

AHCO	Adapthealth Corp. Cl. A

AHPI	Allied Healthcare

AIA	Asia 50 Ishares ETF

AIH	Aesthetic Medical International Holdings Group L

AIHS	Senmiao Technology Ltd

AIKI	Alkido Pharma Inc.

AIMC	Altra Indtl Mtn

AIMT	Aimmune Therap

AINV	Apollo Investment Company

AIQ	Global X Future Analytics Tech ETF

AIRG	Airgain Inc

AIRR	Rba American Industrial Renaissance ETF FT

AIRT	Air T Inc

AIRTP	Air T Inc Funding Alpha Income Trust Preferred

AIRTW	Air T Inc Funding WT

AKAM	Akamai Technologies

AKBA	Akebia Therapeutics

AKCA	Akcea Therapeutics Inc

AKER	Akers Biosciences

AKRO	Akero Therapeutics Inc

AKRX	Akorn Inc

AKTS	Akoustis Technologies Inc

AKTX	Akari Therapeutics

ALAC	Alberton Acquisition Corp

ALACR	Alberton Acquisition Corporation Rights

ALACU	Alberton Acquisition Corp Unit

ALACW	Alberton Acquisition Corp WT

ALBO	Albireo Pharma Inc

ALCO	Alico Inc

ALDX	Aldeyra Therapeu

ALEC	Alector Inc

ALGN	Align Technology

ALGR	Allegro Merger Corp

ALGRR	Allegro Merger Corp Right

ALGRU	Allegro Merger Corp Unit

ALGRW	Allegro Merger Corp WT

ALGT	Allegiant Travel Com

ALIM	Alimera Sciences Inc

ALJJ	Alj Regional Hold

ALKS	Alkermes Plc

ALLK	Allakos Inc

ALLO	Allogene Therapeutics Inc

ALLT	Allot Communications

ALNA	Allena Pharmaceuticals Inc

ALNY	Alnylam Pharmaceuticals

ALOT	Astronova Inc

ALPN	Alpine Immune Sciences Inc

ALRM	Alarm.com

ALRN	Aileron Therapeutics Inc

ALRS	Alerus Financial Corp

ALSK	Alaska Commun Sys

ALT	Altimmune Inc

ALTM	Altus Midstream Company

ALTR	Altair Engineering Inc Cl A

ALTY	G-X Super Dividend Alternatives ETF

ALXN	Alexion Pharm Inc

ALYA	Alithya Group Inc Cl A

AMAG	Amag Pharmaceuticals

AMAL	Amalgamated Bk

AMAT	Applied Materials

AMBA	Ambarella Inc

AMCA	Russell 1000 Pure US Rev Ishares ETF

AMCI	Amci Acquisition Corp Cl A

AMCIU	Amci Acquisition Corp Unit

AMCIW	Amci Acquisition Corp WT

AMCX	Amc Networks Cl A

AMD	Adv Micro Devices

AMED	Amedisys Inc

AMEH	Apollo Medical Holdings Inc

AMGN	Amgen Inc

AMHC	Amplitude Healthcare Acquisition Corporation Cl

AMHCU	Amplitude Healthcare Acquisition Corp

AMHCW	Amplitude Healthcare Acquisition Corporation WT

AMKR	Amkor Technology

AMNB	American Natl Bksh

AMOT	Allied Motion Tech

AMPH	Amphastar Pharma

AMRB	American River Bkshs

AMRH	Ameri Holdings Inc

AMRHW	Ameri Holdings Inc WT

AMRK	A-Mark Precious Meta

AMRN	Amarin Corp Ads

AMRS	Amyris Inc

AMSC	Amer Superconductor

AMSF	Amerisafe Inc

AMSWA	Amer Software Inc

AMTB	Mercantil Bank Holding Cl A

AMTBB	Mercantil Bank Holding Cl B

AMTD	TD Ameritrade HD

AMTX	Aemetis Inc

AMWD	Amer Woodmark Cp

AMZN	Amazon.com Inc

ANAB	Anaptysbio Inc

ANAT	Amer Natl Insurance

ANCN	Anchiano Therapeutics Ltd ADR

ANDA	Andina Acquisition Corp III

ANDAR	Andina Acquisition Corp III Right

ANDAU	Andina Acquisition Corp III Unit

ANDAW	Andina Acquisition Corp III WT

ANDE	Andersons Inc

ANGI	Homeservices Inc

ANGL	Fallen Angel HY Bond ETF Vaneck

ANGO	Angiodynamics Inc

ANIK	Anika Therapeutics

ANIP	ANI Pharma Inc

ANIX	Anixa Biosciences Inc

ANPC	Anpac Bio-Medical Science CO ADR

ANSS	Ansys Inc

ANTE	Airnet Technology Inc

ANY	Sphere 3D Corp

AOBC	American Outdoor Brands Corp

AOSL	Alpha and Omega Semi

APDN	Applied Dna Scns

APEI	American Public Eduducation

APEN	Apollo Endosurgery Inc

APEX	Apex Global Brands Inc

APLS	Apellis Pharmaceuticals Inc

APLT	Applied Therapeutics Inc

APM	Aptorum Group Ltd Cl A

APOG	Apogee Entrpr Inc

APOP	Cellect Biotechnology Ltd

APOPW	Cellect Biotechnology Ltd

APPF	Appfolio Cl A

APPN	Appian Corp Cl A

APPS	Digital Turbine

APRE	Aprea Therapeutics Inc

APTO	Aptose Bioscns

APTX	Aptinyx Inc

APVO	Aptevo Therapeutics Inc

APWC	Asia Pacific Wire & Cable

APXT	Apex Technology Acquisition Corporation Cl A

APXTU	Apex Technology Acquisition Corp

APXTW	Apex Technology Acquisition Corporation WT

APYX	Apyx Medical Corp

AQB	Aquabounty Technologies Inc

AQMS	Aqua Metals Inc

AQST	Aquestive Therapeutics Inc

ARAV	Aravive Inc

ARAY	Accuray Incorporated

ARCB	Arcbest Corp

ARCC	Ares Capital Corp

ARCE	Arco Platform Ltd Cl A

ARCT	Arcturus Therapeutics Ltd

ARDS	Aridis Pharmaceuticals Inc

ARDX	Ardelyx Inc

AREC	American Resources Corp

ARGX	Argenx Se Ads

ARKR	Ark Restaurants Cp

ARLP	Alliance Resource Pt

ARNA	Arena Pharmaceuticals

AROW	Arrow Financial Corp

ARPO	Aerpio Pharmaceuticals Inc

ARQT	Arcutis Biotherapeutics Inc

ARTL	Artelo Biosciences Inc

ARTLW	Artelo Biosciences Inc WT

ARTNA	Artesian Res Cp A

ARTW	Art S Way MFG Company

ARVN	Arvinas Inc

ARWR	Arrowhead Pharma

ARYA	Arya Sciences Acquisiton Corp Cl A

ARYAU	Arya Sciences Acquisiton Corp Unit

ARYAW	Arya Sciences Acquisiton Corp WT

ASET	Flexshares Real Assets Allocation Index Fund

ASFI	Asta Funding Inc

ASLN	Aslan Pharmaceuticals Ltd ADR

ASMB	Assembly Biosciences

ASML	Asml Hld NY Reg

ASNA	Ascena Retail Group

ASND	Ascendis Pharma Ads

ASPS	Altisource Portfolio

ASPU	Aspen Group Inc

ASRT	Assertio Therapeutics Inc

ASRV	Ameriserv Financial

ASRVP	Ameriserv Fin Cap

ASTC	Astrotech Corp

ASTE	Astec Inds Inc

ASUR	Asure Software

ASYS	Amtech Systems Inc

ATAX	Amer First Mf Inv

ATCX	Atlas Technical Consultants Inc.

ATCXW	Atlas Technical Consultants Inc.

ATEC	Alphatec Holdings

ATEX	Pdvwireless

ATHE	Alterity Therapeutics Ltd

ATHX	Athersys Inc

ATIF	Atif Holdings Ltd

ATLC	Atlanticus Hld Cp

ATLO	Ames Natl Corp

ATNI	Atn International

ATNX	Athenex Inc

ATOM	Atomera Inc

ATOS	Atossa Genetics Inc

ATRA	Atara Biotherap

ATRC	Atricure Inc

ATRI	Atrion Corp

ATRO	Astronics Cp

ATRS	Antares Pharma

ATSG	Air Transport

ATVI	Activision Blizzard

ATXI	Avenue Therapeutics Inc

AUB	Atlantic Union Bancshares Corp

AUBN	Auburn Natl Bncp

AUDC	Audiocodes Ltd

AUPH	Aurinia Pharm Ord

AUTL	Autolus Therapeutics Plc ADR

AUTO	Autoweb Inc

AVAV	Aerovironment Inc

AVCO	Avalon Globocare

AVCT	American Virtual Cloud Tech Inc.

AVCTW	American Virtual Cloud Tech Inc. Warrants

AVDL	Avadel Pharmaceuticals Plc

AVEO	Aveo Pharmaceuticals

AVGO	Broadcom Ltd

AVGOP	Broadcom Inc 8% Prf Undated USD 1000 Ser A

AVGR	Avinger Inc

AVID	Avid Tech Inc

AVNW	Aviat Networks Inc

AVRO	Avrobio Inc

AVT	Avnet Inc

AVXL	Anavex Lf SC

AWRE	Aware Inc

AXAS	Abraxas Petro Corp

AXDX	Accelerate Diagnosti

AXGN	Axogen Inc

AXGT	Axovant Sciences Ltd

AXLA	Axcella Health Inc

AXNX	Axonics Modulation Technologies Inc

AXSM	Axsome Thera

AXTI	Axt Inc

AY	Atlantica Yield Plc

AYTU	Aytu Bioscience Inc

AZPN	Aspen Technology

AZRX	Azurrx Biopharma Inc

BAND	Bandwidth Inc

BANF	Bancfirst Corp

BANFP	Bfc Capital Trust II

BANR	Banner Corp

BANX	Stonecastle Fncl Cp

BASI	Bioanalytical Syst

BATRA	Liberty Braves CS A

BATRK	Liberty Braves CS C

BBBY	Bed Bath & Beyond

BBCP	Concrete Pumping Holdings Inc

BBGI	Beasley Brdcst Gr

BBH	Biotech Vaneck ETF

BBI	Brickell Biotech Inc

BBIO	Bridgebio Pharma Inc

BBQ	Bbq Holdings Inc

BBSI	Barrett Business S

BCBP	Bcb Bancorp Inc

BCDA	Biocardia Inc

BCDAW	Biocardia Inc WT

BCEL	Atreca Inc Cl A

BCLI	Brainstorm Cell

BCML	Bay Commercial Bk CA

BCOM	B Communications Ltd

BCOR	Blucora Inc

BCOV	Brightcove Inc

BCOW	1895 Bancorp of Wisconsin Inc

BCPC	Balchem Cp

BCRX	Biocryst Pharma Inc

BCTF	Bancorp 34 Inc

BCYC	Bicycle Therapeutics Plc ADR

BDGE	Bridge Bancorp Inc

BDSI	Biodelivery Sci Intl

BDTX	Black Diamond Therapeutics Inc

BEAM	Beam Therapeutics Inc

BEAT	Biotelemetry Inc

BECN	Beacon Roofing Suppl

BELFA	Bel Fuse Cl A

BELFB	Bel Fuse Inc Cl B

BFC	Bank First National Corp [Wisconsin]

BFIN	Bankfinancial Corp

BFIT	G-X Health & Wellness Thematic Et

BFRA	Biofrontera Ag ADR

BFST	Business First Bancshares Inc

BFYT	Benefytt Technologies Inc.

BGCP	Bgc Partners Cl A

BGFV	Big 5 Sporting

BGNE	Beigene Ltd Ads

BGRN	Ishares Global Green Bond ETF

BHAT	Blue Hat Interactive Entertainment Tech

BHF	Brighthouse Financial Inc

BHFAL	Brighthouse Financial Inc 6.25% Junior Subordi

BHFAP	Brighthouse Financial Inc Dep Shs Repstg 1/1000T

BHTG	Biohitech Global Inc

BIB	Ultra Nasdaq Biotech Proshares

BICK	BICK Index Fund FT

BIDU	Baidu Inc

BIIB	Biogen Inc

BILI	Bilibili Inc ADR

BIMI	NF Energy Saving Corp

BIOC	Biocept Inc

BIOL	Biolase Inc

BIS	Ultrashort Biotechnology Proshares

BJK	Gaming ETF Vaneck

BJRI	Bj's Restaurants Inc

BKCC	Blackrock Cptl Invt

BKEP	Blueknight Energy LP

BKEPP	Blueknight Srs A Uts

BKNG	Booking Holdings Inc

BKSC	Bank of So Car Cp

BKYI	Bio-Key Intl Inc

BL	Blackline Inc

BLBD	Blue Bird Corp

BLCM	Bellicum Pharma Comm

BLCN	Reality Shares Nasdaq Nextgen Economy ETF

BLDP	Ballard Power Sys

BLDR	Builders Firstsource

BLFS	Biolife Solutions

BLIN	Bridgeline Digital

BLKB	Blackbaud Inc

BLMN	Bloomin' Brands Inc

BLNK	Blink Charging Company

BLNKW	Blink Charging Co. WT

BLPH	Bellerophon Ther Com

BLRX	Biolinerx Ltd

BLU	Bellus Health Inc

BLUE	Bluebird Bio

BMCH	Bmc Stock Holdings

BMLP	Dorsey Wright MLP Index ETN

BMRA	Biomerica Inc

BMRC	Bank of Marin Bancrp

BMRN	Biomarin Pharmaceuticals

BMTC	Bryn Mawr Bank Corp

BND	Total Bond Market ETF Vanguard

BNDW	Total World Bond Vanguard ETF

BNDX	Total Intl Bond ETF Vanguard

BNFT	Benefitfocus

BNGO	Bionano Genomics Inc

BNGOW	Bionano Genomics Inc WT

BNSO	Bonso Elec Intl IN

BNTC	Benitec Biopharma Ltd

BNTCW	Benitec Biopharm Wrt

BNTX	Biontech Se ADR

BOCH	Bank of Commerce Hld

BOKF	Bok Financial Corp

BOKFL	Bok Financial Corp
